sensor_reading_id,machine_id,recorded_at,temperature_celsius,vibration_mm_s,pressure_psi
SENSOR-00006758,MCH-004-01-02,2026-01-17 04:00:00,83.83,2.346,100.3
SENSOR-00006759,MCH-004-01-02,2026-01-17 08:00:00,78.88,2.741,100.42
SENSOR-00006760,MCH-004-01-02,2026-01-17 12:00:00,79.02,3.08,103.73
SENSOR-00006761,MCH-004-01-02,2026-01-17 16:00:00,87.72,2.729,98.77
SENSOR-00006762,MCH-004-01-02,2026-01-17 20:00:00,75.28,2.602,102.14
SENSOR-00006763,MCH-004-01-02,2026-01-18 00:00:00,76.22,2.436,97.93
SENSOR-00006764,MCH-004-01-02,2026-01-18 04:00:00,80.82,2.505,104.66
SENSOR-00006765,MCH-004-01-02,2026-01-18 08:00:00,78.32,2.907,101.86
SENSOR-00006766,MCH-004-01-02,2026-01-18 12:00:00,85.64,2.622,100.32
SENSOR-00006767,MCH-004-01-02,2026-01-18 16:00:00,73.54,2.758,103.42
SENSOR-00006768,MCH-004-01-02,2026-01-18 20:00:00,80.03,3.31,101.56
SENSOR-00006769,MCH-004-01-02,2026-01-19 00:00:00,78.75,2.481,104.68
SENSOR-00006770,MCH-004-01-02,2026-01-19 04:00:00,67.37,2.742,100.65
SENSOR-00006771,MCH-004-01-02,2026-01-19 08:00:00,79.11,2.857,100.33
SENSOR-00006772,MCH-004-01-02,2026-01-19 12:00:00,81.15,2.581,95.62
SENSOR-00006773,MCH-004-01-02,2026-01-19 16:00:00,78.96,2.475,97.81
SENSOR-00006774,MCH-004-01-02,2026-01-19 20:00:00,83.8,3.121,103.43
SENSOR-00006775,MCH-004-01-02,2026-01-20 00:00:00,74.3,2.411,100.76
SENSOR-00006776,MCH-004-01-02,2026-01-20 04:00:00,80.57,3.345,99.73
SENSOR-00006777,MCH-004-01-02,2026-01-20 08:00:00,82.24,2.772,102.07
SENSOR-00006778,MCH-004-01-02,2026-01-20 12:00:00,79.72,3.007,96.84
SENSOR-00006779,MCH-004-01-02,2026-01-20 16:00:00,69.36,2.836,94.58
SENSOR-00006780,MCH-004-01-02,2026-01-20 20:00:00,84.4,2.595,96.89
SENSOR-00006781,MCH-004-01-02,2026-01-21 00:00:00,77.98,2.502,100.14
SENSOR-00006782,MCH-004-01-02,2026-01-21 04:00:00,71.9,2.963,99.13
SENSOR-00006783,MCH-004-01-02,2026-01-21 08:00:00,77.24,2.698,99.5
SENSOR-00006784,MCH-004-01-02,2026-01-21 12:00:00,83.71,2.458,98.85
SENSOR-00006785,MCH-004-01-02,2026-01-21 16:00:00,78.28,2.466,100.48
SENSOR-00006786,MCH-004-01-02,2026-01-21 20:00:00,76.25,2.381,101.58
SENSOR-00006787,MCH-004-01-02,2026-01-22 00:00:00,83.95,2.97,101.8
SENSOR-00006788,MCH-004-01-02,2026-01-22 04:00:00,68.13,2.731,102.68
SENSOR-00006789,MCH-004-01-02,2026-01-22 08:00:00,80.67,2.783,102.69
SENSOR-00006790,MCH-004-01-02,2026-01-22 12:00:00,79.71,3.033,100.49
SENSOR-00006791,MCH-004-01-02,2026-01-22 16:00:00,79.48,2.955,98.8
SENSOR-00006792,MCH-004-01-02,2026-01-22 20:00:00,74.76,2.733,101.77
SENSOR-00006793,MCH-004-01-02,2026-01-23 00:00:00,90.55,2.356,100.47
SENSOR-00006794,MCH-004-01-02,2026-01-23 04:00:00,80.66,2.859,97.1
SENSOR-00006795,MCH-004-01-02,2026-01-23 08:00:00,81.21,2.598,95.72
SENSOR-00006796,MCH-004-01-02,2026-01-23 12:00:00,82.96,2.898,97.1
SENSOR-00006797,MCH-004-01-02,2026-01-23 16:00:00,76.97,2.587,95.07
SENSOR-00006798,MCH-004-01-02,2026-01-23 20:00:00,82.2,2.932,99.0
SENSOR-00006799,MCH-004-01-02,2026-01-24 00:00:00,73.95,2.725,99.85
SENSOR-00006800,MCH-004-01-02,2026-01-24 04:00:00,79.56,2.509,100.61
SENSOR-00006801,MCH-004-01-02,2026-01-24 08:00:00,80.34,3.023,100.56
SENSOR-00006802,MCH-004-01-02,2026-01-24 12:00:00,76.75,2.395,95.41
SENSOR-00006803,MCH-004-01-02,2026-01-24 16:00:00,80.44,2.93,97.33
SENSOR-00006804,MCH-004-01-02,2026-01-24 20:00:00,80.17,2.688,102.15
SENSOR-00006805,MCH-004-01-02,2026-01-25 00:00:00,75.4,2.555,96.88
SENSOR-00006806,MCH-004-01-02,2026-01-25 04:00:00,84.54,2.746,106.76
SENSOR-00006807,MCH-004-01-02,2026-01-25 08:00:00,80.63,2.879,96.82
SENSOR-00006808,MCH-004-01-02,2026-01-25 12:00:00,78.28,2.75,98.09
SENSOR-00006809,MCH-004-01-02,2026-01-25 16:00:00,77.29,2.837,101.32
SENSOR-00006810,MCH-004-01-02,2026-01-25 20:00:00,73.8,2.803,101.66
SENSOR-00006811,MCH-004-01-02,2026-01-26 00:00:00,83.16,2.438,97.88
SENSOR-00006812,MCH-004-01-02,2026-01-26 04:00:00,79.25,2.976,98.38
SENSOR-00006813,MCH-004-01-02,2026-01-26 08:00:00,78.98,2.566,100.07
SENSOR-00006814,MCH-004-01-02,2026-01-26 12:00:00,83.34,2.758,98.93
SENSOR-00006815,MCH-004-01-02,2026-01-26 16:00:00,79.02,2.532,97.02
SENSOR-00006816,MCH-004-01-02,2026-01-26 20:00:00,83.96,3.141,94.63
SENSOR-00006817,MCH-004-01-02,2026-01-27 00:00:00,73.31,2.925,101.63
SENSOR-00006818,MCH-004-01-02,2026-01-27 04:00:00,84.13,2.467,102.17
SENSOR-00006819,MCH-004-01-02,2026-01-27 08:00:00,76.22,2.888,99.89
SENSOR-00006820,MCH-004-01-02,2026-01-27 12:00:00,86.75,2.844,99.06
SENSOR-00006821,MCH-004-01-02,2026-01-27 16:00:00,79.7,2.707,96.54
SENSOR-00006822,MCH-004-01-02,2026-01-27 20:00:00,86.85,3.132,99.47
SENSOR-00006823,MCH-004-01-02,2026-01-28 00:00:00,84.15,2.907,101.06
SENSOR-00006824,MCH-004-01-02,2026-01-28 04:00:00,75.16,2.812,98.11
SENSOR-00006825,MCH-004-01-02,2026-01-28 08:00:00,81.25,2.541,101.56
SENSOR-00006826,MCH-004-01-02,2026-01-28 12:00:00,84.44,2.826,100.99
SENSOR-00006827,MCH-004-01-02,2026-01-28 16:00:00,82.8,3.175,99.68
SENSOR-00006828,MCH-004-01-02,2026-01-28 20:00:00,81.23,3.11,102.01
SENSOR-00006829,MCH-004-01-02,2026-01-29 00:00:00,77.7,2.627,104.61
SENSOR-00006830,MCH-004-01-02,2026-01-29 04:00:00,75.01,2.918,104.16
SENSOR-00006831,MCH-004-01-02,2026-01-29 08:00:00,82.43,2.841,99.51
SENSOR-00006832,MCH-004-01-02,2026-01-29 12:00:00,86.55,2.671,102.84
SENSOR-00006833,MCH-004-01-02,2026-01-29 16:00:00,78.51,2.272,99.19
SENSOR-00006834,MCH-004-01-02,2026-01-29 20:00:00,78.52,2.696,98.02
SENSOR-00006835,MCH-004-01-02,2026-01-30 00:00:00,76.75,3.23,98.91
SENSOR-00006836,MCH-004-01-02,2026-01-30 04:00:00,75.09,2.392,96.77
SENSOR-00006837,MCH-004-01-02,2026-01-30 08:00:00,80.48,2.668,98.1
SENSOR-00006838,MCH-004-01-02,2026-01-30 12:00:00,75.76,2.46,97.33
SENSOR-00006839,MCH-004-01-02,2026-01-30 16:00:00,83.21,3.183,105.6
SENSOR-00006840,MCH-004-01-02,2026-01-30 20:00:00,81.9,2.609,98.0
SENSOR-00006841,MCH-004-01-03,2026-01-01 00:00:00,82.86,3.155,106.61
SENSOR-00006842,MCH-004-01-03,2026-01-01 04:00:00,81.3,2.298,101.43
SENSOR-00006843,MCH-004-01-03,2026-01-01 08:00:00,82.62,2.714,100.65
SENSOR-00006844,MCH-004-01-03,2026-01-01 12:00:00,77.72,2.739,103.05
SENSOR-00006845,MCH-004-01-03,2026-01-01 16:00:00,85.21,2.455,98.47
SENSOR-00006846,MCH-004-01-03,2026-01-01 20:00:00,73.3,3.232,102.61
SENSOR-00006847,MCH-004-01-03,2026-01-02 00:00:00,77.12,2.784,98.63
SENSOR-00006848,MCH-004-01-03,2026-01-02 04:00:00,79.63,2.912,95.4
SENSOR-00006849,MCH-004-01-03,2026-01-02 08:00:00,76.62,2.764,104.7
SENSOR-00006850,MCH-004-01-03,2026-01-02 12:00:00,83.04,2.772,101.21
SENSOR-00006851,MCH-004-01-03,2026-01-02 16:00:00,79.25,3.042,101.3
SENSOR-00006852,MCH-004-01-03,2026-01-02 20:00:00,84.77,2.434,97.58
SENSOR-00006853,MCH-004-01-03,2026-01-03 00:00:00,85.79,3.149,100.79
SENSOR-00006854,MCH-004-01-03,2026-01-03 04:00:00,73.19,2.735,101.41
SENSOR-00006855,MCH-004-01-03,2026-01-03 08:00:00,83.64,2.33,97.69
SENSOR-00006856,MCH-004-01-03,2026-01-03 12:00:00,84.05,3.148,101.29
SENSOR-00006857,MCH-004-01-03,2026-01-03 16:00:00,84.25,2.886,102.89
SENSOR-00006858,MCH-004-01-03,2026-01-03 20:00:00,80.24,2.893,96.33
SENSOR-00006859,MCH-004-01-03,2026-01-04 00:00:00,73.65,2.529,96.8
SENSOR-00006860,MCH-004-01-03,2026-01-04 04:00:00,85.92,3.108,97.01
SENSOR-00006861,MCH-004-01-03,2026-01-04 08:00:00,86.5,3.093,95.11
SENSOR-00006862,MCH-004-01-03,2026-01-04 12:00:00,75.54,2.358,99.74
SENSOR-00006863,MCH-004-01-03,2026-01-04 16:00:00,79.73,2.776,93.92
SENSOR-00006864,MCH-004-01-03,2026-01-04 20:00:00,73.95,2.838,101.87
SENSOR-00006865,MCH-004-01-03,2026-01-05 00:00:00,78.44,3.008,101.83
SENSOR-00006866,MCH-004-01-03,2026-01-05 04:00:00,77.8,2.598,99.3
SENSOR-00006867,MCH-004-01-03,2026-01-05 08:00:00,74.5,2.748,99.75
SENSOR-00006868,MCH-004-01-03,2026-01-05 12:00:00,77.99,3.023,96.79
SENSOR-00006869,MCH-004-01-03,2026-01-05 16:00:00,72.84,2.641,100.37
SENSOR-00006870,MCH-004-01-03,2026-01-05 20:00:00,79.23,2.735,96.62
SENSOR-00006871,MCH-004-01-03,2026-01-06 00:00:00,74.35,2.921,102.67
SENSOR-00006872,MCH-004-01-03,2026-01-06 04:00:00,73.02,2.937,101.86
SENSOR-00006873,MCH-004-01-03,2026-01-06 08:00:00,85.24,3.01,104.06
SENSOR-00006874,MCH-004-01-03,2026-01-06 12:00:00,81.61,2.886,98.99
SENSOR-00006875,MCH-004-01-03,2026-01-06 16:00:00,82.94,2.439,99.58
SENSOR-00006876,MCH-004-01-03,2026-01-06 20:00:00,81.82,3.125,98.57
SENSOR-00006877,MCH-004-01-03,2026-01-07 00:00:00,73.72,2.872,94.97
SENSOR-00006878,MCH-004-01-03,2026-01-07 04:00:00,85.91,3.157,103.11
SENSOR-00006879,MCH-004-01-03,2026-01-07 08:00:00,79.61,3.189,104.04
SENSOR-00006880,MCH-004-01-03,2026-01-07 12:00:00,77.53,3.132,97.26
SENSOR-00006881,MCH-004-01-03,2026-01-07 16:00:00,78.87,2.324,100.44
SENSOR-00006882,MCH-004-01-03,2026-01-07 20:00:00,78.48,2.66,99.5
SENSOR-00006883,MCH-004-01-03,2026-01-08 00:00:00,81.73,2.572,95.98
SENSOR-00006884,MCH-004-01-03,2026-01-08 04:00:00,80.0,2.961,103.02
SENSOR-00006885,MCH-004-01-03,2026-01-08 08:00:00,84.47,2.865,99.21
SENSOR-00006886,MCH-004-01-03,2026-01-08 12:00:00,79.65,2.462,97.95
SENSOR-00006887,MCH-004-01-03,2026-01-08 16:00:00,79.44,2.706,100.28
SENSOR-00006888,MCH-004-01-03,2026-01-08 20:00:00,74.16,2.485,102.33
SENSOR-00006889,MCH-004-01-03,2026-01-09 00:00:00,80.28,2.648,99.93
SENSOR-00006890,MCH-004-01-03,2026-01-09 04:00:00,84.54,2.601,97.91
SENSOR-00006891,MCH-004-01-03,2026-01-09 08:00:00,78.39,3.141,99.73
SENSOR-00006892,MCH-004-01-03,2026-01-09 12:00:00,84.59,2.728,103.57
SENSOR-00006893,MCH-004-01-03,2026-01-09 16:00:00,81.29,2.911,95.69
SENSOR-00006894,MCH-004-01-03,2026-01-09 20:00:00,73.32,3.04,103.17
SENSOR-00006895,MCH-004-01-03,2026-01-10 00:00:00,79.79,2.981,103.38
SENSOR-00006896,MCH-004-01-03,2026-01-10 04:00:00,82.43,2.886,99.58
SENSOR-00006897,MCH-004-01-03,2026-01-10 08:00:00,77.38,2.907,96.85
SENSOR-00006898,MCH-004-01-03,2026-01-10 12:00:00,80.13,2.504,99.88
SENSOR-00006899,MCH-004-01-03,2026-01-10 16:00:00,75.44,2.672,97.97
SENSOR-00006900,MCH-004-01-03,2026-01-10 20:00:00,76.47,2.751,92.73
SENSOR-00006901,MCH-004-01-03,2026-01-11 00:00:00,87.28,2.831,100.59
SENSOR-00006902,MCH-004-01-03,2026-01-11 04:00:00,81.52,2.309,98.22
SENSOR-00006903,MCH-004-01-03,2026-01-11 08:00:00,81.48,2.772,106.62
SENSOR-00006904,MCH-004-01-03,2026-01-11 12:00:00,77.52,3.008,102.42
SENSOR-00006905,MCH-004-01-03,2026-01-11 16:00:00,80.23,2.854,99.13
SENSOR-00006906,MCH-004-01-03,2026-01-11 20:00:00,71.76,2.86,101.29
SENSOR-00006907,MCH-004-01-03,2026-01-12 00:00:00,77.6,2.96,98.97
SENSOR-00006908,MCH-004-01-03,2026-01-12 04:00:00,80.13,2.727,98.27
SENSOR-00006909,MCH-004-01-03,2026-01-12 08:00:00,88.66,2.563,93.14
SENSOR-00006910,MCH-004-01-03,2026-01-12 12:00:00,76.44,2.805,98.87
SENSOR-00006911,MCH-004-01-03,2026-01-12 16:00:00,83.73,3.018,99.04
SENSOR-00006912,MCH-004-01-03,2026-01-12 20:00:00,72.93,2.452,99.9
SENSOR-00006913,MCH-004-01-03,2026-01-13 00:00:00,80.61,2.954,102.69
SENSOR-00006914,MCH-004-01-03,2026-01-13 04:00:00,80.17,2.901,98.46
SENSOR-00006915,MCH-004-01-03,2026-01-13 08:00:00,84.19,2.551,99.38
SENSOR-00006916,MCH-004-01-03,2026-01-13 12:00:00,84.6,2.652,95.98
SENSOR-00006917,MCH-004-01-03,2026-01-13 16:00:00,78.01,3.12,93.19
SENSOR-00006918,MCH-004-01-03,2026-01-13 20:00:00,80.07,2.614,99.5
SENSOR-00006919,MCH-004-01-03,2026-01-14 00:00:00,81.94,2.484,100.71
SENSOR-00006920,MCH-004-01-03,2026-01-14 04:00:00,78.64,2.667,97.93
SENSOR-00006921,MCH-004-01-03,2026-01-14 08:00:00,77.15,3.086,98.91
SENSOR-00006922,MCH-004-01-03,2026-01-14 12:00:00,84.23,2.805,96.6
SENSOR-00006923,MCH-004-01-03,2026-01-14 16:00:00,80.42,2.476,101.82
SENSOR-00006924,MCH-004-01-03,2026-01-14 20:00:00,78.83,2.986,104.3
SENSOR-00006925,MCH-004-01-03,2026-01-15 00:00:00,80.23,2.784,97.49
SENSOR-00006926,MCH-004-01-03,2026-01-15 04:00:00,77.72,2.786,103.97
SENSOR-00006927,MCH-004-01-03,2026-01-15 08:00:00,80.99,2.632,99.31
SENSOR-00006928,MCH-004-01-03,2026-01-15 12:00:00,82.74,3.193,96.69
SENSOR-00006929,MCH-004-01-03,2026-01-15 16:00:00,84.11,2.694,95.13
SENSOR-00006930,MCH-004-01-03,2026-01-15 20:00:00,72.37,3.106,104.36
SENSOR-00006931,MCH-004-01-03,2026-01-16 00:00:00,75.33,2.857,98.04
SENSOR-00006932,MCH-004-01-03,2026-01-16 04:00:00,70.19,3.022,103.15
SENSOR-00006933,MCH-004-01-03,2026-01-16 08:00:00,77.57,2.841,101.31
SENSOR-00006934,MCH-004-01-03,2026-01-16 12:00:00,81.54,3.204,101.25
SENSOR-00006935,MCH-004-01-03,2026-01-16 16:00:00,78.23,2.88,98.71
SENSOR-00006936,MCH-004-01-03,2026-01-16 20:00:00,75.39,3.077,101.6
SENSOR-00006937,MCH-004-01-03,2026-01-17 00:00:00,85.66,2.545,100.8
SENSOR-00006938,MCH-004-01-03,2026-01-17 04:00:00,87.89,2.887,107.1
SENSOR-00006939,MCH-004-01-03,2026-01-17 08:00:00,77.11,3.222,100.05
SENSOR-00006940,MCH-004-01-03,2026-01-17 12:00:00,78.35,2.933,99.67
SENSOR-00006941,MCH-004-01-03,2026-01-17 16:00:00,79.32,2.894,94.58
SENSOR-00006942,MCH-004-01-03,2026-01-17 20:00:00,76.46,2.953,102.97
SENSOR-00006943,MCH-004-01-03,2026-01-18 00:00:00,71.22,2.458,99.95
SENSOR-00006944,MCH-004-01-03,2026-01-18 04:00:00,83.71,2.668,98.0
SENSOR-00006945,MCH-004-01-03,2026-01-18 08:00:00,81.77,2.691,102.64
SENSOR-00006946,MCH-004-01-03,2026-01-18 12:00:00,78.77,2.494,104.26
SENSOR-00006947,MCH-004-01-03,2026-01-18 16:00:00,84.61,2.534,101.19
SENSOR-00006948,MCH-004-01-03,2026-01-18 20:00:00,78.35,2.927,97.37
SENSOR-00006949,MCH-004-01-03,2026-01-19 00:00:00,73.36,2.693,105.24
SENSOR-00006950,MCH-004-01-03,2026-01-19 04:00:00,87.91,2.613,97.26
SENSOR-00006951,MCH-004-01-03,2026-01-19 08:00:00,77.82,3.223,102.53
SENSOR-00006952,MCH-004-01-03,2026-01-19 12:00:00,85.51,3.022,96.04
SENSOR-00006953,MCH-004-01-03,2026-01-19 16:00:00,75.86,2.599,98.43
SENSOR-00006954,MCH-004-01-03,2026-01-19 20:00:00,76.94,2.632,101.92
SENSOR-00006955,MCH-004-01-03,2026-01-20 00:00:00,79.95,2.675,95.97
SENSOR-00006956,MCH-004-01-03,2026-01-20 04:00:00,84.32,2.896,100.87
SENSOR-00006957,MCH-004-01-03,2026-01-20 08:00:00,79.64,2.655,96.66
SENSOR-00006958,MCH-004-01-03,2026-01-20 12:00:00,80.67,2.638,98.73
SENSOR-00006959,MCH-004-01-03,2026-01-20 16:00:00,86.53,2.761,92.64
SENSOR-00006960,MCH-004-01-03,2026-01-20 20:00:00,77.52,2.522,99.58
SENSOR-00006961,MCH-004-01-03,2026-01-21 00:00:00,81.03,2.827,103.38
SENSOR-00006962,MCH-004-01-03,2026-01-21 04:00:00,77.47,2.832,107.34
SENSOR-00006963,MCH-004-01-03,2026-01-21 08:00:00,79.49,2.772,96.21
SENSOR-00006964,MCH-004-01-03,2026-01-21 12:00:00,76.8,2.746,101.6
SENSOR-00006965,MCH-004-01-03,2026-01-21 16:00:00,82.25,2.854,102.41
SENSOR-00006966,MCH-004-01-03,2026-01-21 20:00:00,75.66,2.895,100.04
SENSOR-00006967,MCH-004-01-03,2026-01-22 00:00:00,79.9,2.681,102.6
SENSOR-00006968,MCH-004-01-03,2026-01-22 04:00:00,82.24,2.389,100.15
SENSOR-00006969,MCH-004-01-03,2026-01-22 08:00:00,75.82,2.807,90.54
SENSOR-00006970,MCH-004-01-03,2026-01-22 12:00:00,80.45,2.951,99.67
SENSOR-00006971,MCH-004-01-03,2026-01-22 16:00:00,75.0,3.262,103.47
SENSOR-00006972,MCH-004-01-03,2026-01-22 20:00:00,77.53,2.707,94.06
SENSOR-00006973,MCH-004-01-03,2026-01-23 00:00:00,80.03,2.54,100.58
SENSOR-00006974,MCH-004-01-03,2026-01-23 04:00:00,78.85,2.44,104.02
SENSOR-00006975,MCH-004-01-03,2026-01-23 08:00:00,86.69,3.027,102.61
SENSOR-00006976,MCH-004-01-03,2026-01-23 12:00:00,86.72,2.511,96.82
SENSOR-00006977,MCH-004-01-03,2026-01-23 16:00:00,78.0,2.847,99.12
SENSOR-00006978,MCH-004-01-03,2026-01-23 20:00:00,75.58,2.774,99.72
SENSOR-00006979,MCH-004-01-03,2026-01-24 00:00:00,81.92,2.586,99.26
SENSOR-00006980,MCH-004-01-03,2026-01-24 04:00:00,78.7,2.892,97.53
SENSOR-00006981,MCH-004-01-03,2026-01-24 08:00:00,73.8,2.89,101.3
SENSOR-00006982,MCH-004-01-03,2026-01-24 12:00:00,80.11,3.006,99.39
SENSOR-00006983,MCH-004-01-03,2026-01-24 16:00:00,80.78,2.685,99.22
SENSOR-00006984,MCH-004-01-03,2026-01-24 20:00:00,81.02,3.339,102.23
SENSOR-00006985,MCH-004-01-03,2026-01-25 00:00:00,77.92,2.564,103.0
SENSOR-00006986,MCH-004-01-03,2026-01-25 04:00:00,85.66,3.256,97.45
SENSOR-00006987,MCH-004-01-03,2026-01-25 08:00:00,76.98,2.585,96.94
SENSOR-00006988,MCH-004-01-03,2026-01-25 12:00:00,75.65,2.644,102.62
SENSOR-00006989,MCH-004-01-03,2026-01-25 16:00:00,76.79,3.036,104.1
SENSOR-00006990,MCH-004-01-03,2026-01-25 20:00:00,80.8,3.08,95.92
SENSOR-00006991,MCH-004-01-03,2026-01-26 00:00:00,78.67,3.134,96.94
SENSOR-00006992,MCH-004-01-03,2026-01-26 04:00:00,82.92,3.091,98.46
SENSOR-00006993,MCH-004-01-03,2026-01-26 08:00:00,80.7,2.917,101.23
SENSOR-00006994,MCH-004-01-03,2026-01-26 12:00:00,79.99,2.603,101.99
SENSOR-00006995,MCH-004-01-03,2026-01-26 16:00:00,78.16,2.78,100.53
SENSOR-00006996,MCH-004-01-03,2026-01-26 20:00:00,83.08,3.255,97.79
SENSOR-00006997,MCH-004-01-03,2026-01-27 00:00:00,84.41,2.934,102.35
SENSOR-00006998,MCH-004-01-03,2026-01-27 04:00:00,76.94,2.589,99.66
SENSOR-00006999,MCH-004-01-03,2026-01-27 08:00:00,82.86,2.898,97.67
SENSOR-00007000,MCH-004-01-03,2026-01-27 12:00:00,82.33,2.53,98.02
SENSOR-00007001,MCH-004-01-03,2026-01-27 16:00:00,80.29,2.48,97.11
SENSOR-00007002,MCH-004-01-03,2026-01-27 20:00:00,85.87,3.114,106.87
SENSOR-00007003,MCH-004-01-03,2026-01-28 00:00:00,81.22,2.58,99.03
SENSOR-00007004,MCH-004-01-03,2026-01-28 04:00:00,86.2,2.473,106.51
SENSOR-00007005,MCH-004-01-03,2026-01-28 08:00:00,81.86,2.656,100.2
SENSOR-00007006,MCH-004-01-03,2026-01-28 12:00:00,76.92,2.636,100.22
SENSOR-00007007,MCH-004-01-03,2026-01-28 16:00:00,78.34,2.539,99.34
SENSOR-00007008,MCH-004-01-03,2026-01-28 20:00:00,74.4,2.455,96.15
SENSOR-00007009,MCH-004-01-03,2026-01-29 00:00:00,79.51,2.922,102.11
SENSOR-00007010,MCH-004-01-03,2026-01-29 04:00:00,75.93,2.783,94.48
SENSOR-00007011,MCH-004-01-03,2026-01-29 08:00:00,79.14,2.703,98.98
SENSOR-00007012,MCH-004-01-03,2026-01-29 12:00:00,78.03,2.901,97.34
SENSOR-00007013,MCH-004-01-03,2026-01-29 16:00:00,87.1,2.914,97.59
SENSOR-00007014,MCH-004-01-03,2026-01-29 20:00:00,82.25,3.021,101.11
SENSOR-00007015,MCH-004-01-03,2026-01-30 00:00:00,74.88,2.786,97.51
SENSOR-00007016,MCH-004-01-03,2026-01-30 04:00:00,78.26,2.869,98.57
SENSOR-00007017,MCH-004-01-03,2026-01-30 08:00:00,78.5,2.978,97.33
SENSOR-00007018,MCH-004-01-03,2026-01-30 12:00:00,77.06,2.459,97.53
SENSOR-00007019,MCH-004-01-03,2026-01-30 16:00:00,80.17,2.932,97.58
SENSOR-00007020,MCH-004-01-03,2026-01-30 20:00:00,82.1,2.799,95.85
SENSOR-00007021,MCH-004-01-04,2026-01-01 00:00:00,72.21,2.607,100.62
SENSOR-00007022,MCH-004-01-04,2026-01-01 04:00:00,82.9,2.394,100.15
SENSOR-00007023,MCH-004-01-04,2026-01-01 08:00:00,72.13,1.998,100.75
SENSOR-00007024,MCH-004-01-04,2026-01-01 12:00:00,73.21,1.976,95.86
SENSOR-00007025,MCH-004-01-04,2026-01-01 16:00:00,76.25,2.321,95.75
SENSOR-00007026,MCH-004-01-04,2026-01-01 20:00:00,71.65,2.334,102.77
SENSOR-00007027,MCH-004-01-04,2026-01-02 00:00:00,70.15,2.24,103.32
SENSOR-00007028,MCH-004-01-04,2026-01-02 04:00:00,69.65,1.97,93.44
SENSOR-00007029,MCH-004-01-04,2026-01-02 08:00:00,64.78,1.742,101.67
SENSOR-00007030,MCH-004-01-04,2026-01-02 12:00:00,69.69,1.944,98.05
SENSOR-00007031,MCH-004-01-04,2026-01-02 16:00:00,67.85,2.308,100.28
SENSOR-00007032,MCH-004-01-04,2026-01-02 20:00:00,74.93,1.529,101.6
SENSOR-00007033,MCH-004-01-04,2026-01-03 00:00:00,70.74,2.174,103.32
SENSOR-00007034,MCH-004-01-04,2026-01-03 04:00:00,67.7,1.945,98.07
SENSOR-00007035,MCH-004-01-04,2026-01-03 08:00:00,69.95,1.836,93.53
SENSOR-00007036,MCH-004-01-04,2026-01-03 12:00:00,66.8,2.065,99.56
SENSOR-00007037,MCH-004-01-04,2026-01-03 16:00:00,73.18,2.288,98.65
SENSOR-00007038,MCH-004-01-04,2026-01-03 20:00:00,64.62,2.178,99.97
SENSOR-00007039,MCH-004-01-04,2026-01-04 00:00:00,70.79,2.102,99.79
SENSOR-00007040,MCH-004-01-04,2026-01-04 04:00:00,69.52,2.491,102.82
SENSOR-00007041,MCH-004-01-04,2026-01-04 08:00:00,70.58,2.101,104.13
SENSOR-00007042,MCH-004-01-04,2026-01-04 12:00:00,68.63,1.836,100.68
SENSOR-00007043,MCH-004-01-04,2026-01-04 16:00:00,72.62,2.2,102.48
SENSOR-00007044,MCH-004-01-04,2026-01-04 20:00:00,68.04,1.725,98.25
SENSOR-00007045,MCH-004-01-04,2026-01-05 00:00:00,73.31,2.073,98.21
SENSOR-00007046,MCH-004-01-04,2026-01-05 04:00:00,69.02,2.348,102.24
SENSOR-00007047,MCH-004-01-04,2026-01-05 08:00:00,65.01,1.765,96.42
SENSOR-00007048,MCH-004-01-04,2026-01-05 12:00:00,75.21,1.645,102.36
SENSOR-00007049,MCH-004-01-04,2026-01-05 16:00:00,72.56,2.114,98.58
SENSOR-00007050,MCH-004-01-04,2026-01-05 20:00:00,75.72,2.106,95.67
SENSOR-00007051,MCH-004-01-04,2026-01-06 00:00:00,67.01,2.066,104.16
SENSOR-00007052,MCH-004-01-04,2026-01-06 04:00:00,76.5,1.955,93.29
SENSOR-00007053,MCH-004-01-04,2026-01-06 08:00:00,66.3,2.375,100.69
SENSOR-00007054,MCH-004-01-04,2026-01-06 12:00:00,69.55,1.971,97.75
SENSOR-00007055,MCH-004-01-04,2026-01-06 16:00:00,66.15,2.595,105.16
SENSOR-00007056,MCH-004-01-04,2026-01-06 20:00:00,67.68,1.639,100.51
SENSOR-00007057,MCH-004-01-04,2026-01-07 00:00:00,67.64,2.096,103.73
SENSOR-00007058,MCH-004-01-04,2026-01-07 04:00:00,67.76,1.837,98.88
SENSOR-00007059,MCH-004-01-04,2026-01-07 08:00:00,69.23,1.815,100.32
SENSOR-00007060,MCH-004-01-04,2026-01-07 12:00:00,71.6,2.193,97.54
SENSOR-00007061,MCH-004-01-04,2026-01-07 16:00:00,67.19,2.048,99.26
SENSOR-00007062,MCH-004-01-04,2026-01-07 20:00:00,70.06,1.901,100.99
SENSOR-00007063,MCH-004-01-04,2026-01-08 00:00:00,77.95,2.217,102.0
SENSOR-00007064,MCH-004-01-04,2026-01-08 04:00:00,69.83,2.183,98.73
SENSOR-00007065,MCH-004-01-04,2026-01-08 08:00:00,74.23,2.125,99.89
SENSOR-00007066,MCH-004-01-04,2026-01-08 12:00:00,71.12,2.444,100.5
SENSOR-00007067,MCH-004-01-04,2026-01-08 16:00:00,66.85,2.161,101.47
